,route_id,trip_len
0,1_18289,2400.0
1,2_18290,5400.0
2,4_18291,6120.0
3,5_18292,2640.0
4,8_18293,5040.0
5,9_18294,4800.0
6,10_18295,7320.0
7,11_18296,5640.0
8,13_18297,3000.0
9,16_18298,6720.0
10,18_18299,2520.0
11,19_18300,5280.0
12,21_18301,3360.0
13,30_18302,5400.0
14,31_18303,4080.0
15,32_18304,5160.0
16,33_18305,4200.0
17,34_18306,4800.0
18,35_18307,4200.0
19,40_18308,3840.0
20,41_18309,5760.0
21,42_18310,2880.0
22,47_18311,2400.0
23,49_18312,10680.0
24,56_18313,3360.0
25,57_18314,8040.0
26,58_18315,5280.0
27,59_18316,2760.0
28,60_18317,2520.0
29,61_18318,4200.0
30,64_18319,3360.0
31,70_18320,5760.0
32,73_18321,6120.0
33,74_18322,6840.0
34,76_18323,6120.0
35,77_18324,6240.0
36,78_18325,5760.0
37,79_18326,3360.0
38,90_18327,7320.0
39,91_18328,6480.0
40,94_18329,8880.0
41,95_18330,7560.0
42,97_18331,5760.0
43,98_18332,5040.0
44,100_18333,8160.0
45,174X_18351,2880.0
46,MLB_18348B,5160.0
47,MLR_18348R,5040.0
